runId,label,operation,requestId,phase,t,status,errorCode,classification,reasonClient,reasonApi,stageApi,apiPresent,providerDispatched,e2eMs
E02-s7-initial-93efbd85-ba07-4f15-ad77-f35f48fe115d,E02 r1,profile,profile-11846,measured,274.862,503,1503,technical_error,hard_deadline,hard_deadline,consent,True,False,750
E08-s7-initial-25ccb11e-021d-4a31-b025-aa9947582770,E08 revocado r3,quote,quote-5730,warmup,-38.143,503,1503,technical_error,hard_deadline,hard_deadline,consent,True,False,751
E08-s7-initial-25ccb11e-021d-4a31-b025-aa9947582770,E08 revocado r3,profile,profile-11019,measured,247.296,503,1503,technical_error,hard_deadline,hard_deadline,consent,True,False,755
E07-s7-initial-0323826e-20d0-4a86-811e-065902815d3e,E07 vencido r2,quote,quote-20826,measured,177.51,503,1503,technical_error,hard_deadline,hard_deadline,consent,True,False,751
E07-s7-initial-d6ee825c-243a-43e9-825a-129dd1470d21,E07 ausente r2,profile,profile-6091,measured,83.03,503,1503,technical_error,hard_deadline,hard_deadline,consent,True,False,773
E07-s7-initial-d6ee825c-243a-43e9-825a-129dd1470d21,E07 ausente r2,profile,profile-6109,measured,83.63,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,755
E04-s7-initial-38fc9da2-7803-4965-bf73-c771adef8732,E04 r3,quote,quote-11457,measured,43.675,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,753
E08-s7-initial-4fb8bfec-855d-44fe-965d-32802c675f24,E08 revocado r1,quote,quote-27803,measured,277.181,503,1503,technical_error,hard_deadline,hard_deadline,consent,True,False,749
E06-s7-initial-7018cf53-40c6-46a0-a182-d70c26e9f552,E06 r2,quote,quote-14162,measured,22.311,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,753
E06-s7-initial-7018cf53-40c6-46a0-a182-d70c26e9f552,E06 r2,quote,quote-14508,measured,27.254,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,757
E06-s7-initial-7018cf53-40c6-46a0-a182-d70c26e9f552,E06 r2,quote,quote-14577,measured,28.239,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,757
E06-s7-initial-7018cf53-40c6-46a0-a182-d70c26e9f552,E06 r2,profile,profile-6475,measured,35.829,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,752
E06-s7-initial-7018cf53-40c6-46a0-a182-d70c26e9f552,E06 r2,profile,profile-6522,measured,37.396,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,753
E06-s7-initial-7018cf53-40c6-46a0-a182-d70c26e9f552,E06 r2,profile,profile-6599,measured,39.963,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,751
E06-s7-initial-7018cf53-40c6-46a0-a182-d70c26e9f552,E06 r2,quote,quote-15478,measured,41.11,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,753
E06-s7-initial-7018cf53-40c6-46a0-a182-d70c26e9f552,E06 r2,quote,quote-15621,measured,43.153,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,756
E06-s7-initial-7018cf53-40c6-46a0-a182-d70c26e9f552,E06 r2,quote,quote-15628,measured,43.253,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,754
