runId,label,operation,t,emitted,incomplete,p95,dispatch,normal,openOrHalf
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,120,300,0,152.0,300,300,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,130,300,0,154.0,300,299,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,140,300,0,155.0,300,300,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,150,300,0,155.0,300,300,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,160,300,0,152.0,300,299,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,170,300,0,152.0,300,300,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,180,300,0,150.0,300,300,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,190,300,0,151.0,300,300,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,200,300,0,154.05,300,299,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,210,300,0,151.0,300,300,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,220,300,0,153.0,300,300,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,230,300,0,153.0,300,300,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,240,300,0,155.0,300,300,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,250,300,0,151.0,300,300,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,260,300,0,155.0,300,300,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,270,300,0,153.05,300,300,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,280,300,0,159.0,300,300,0
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,profile,290,300,0,151.05,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,0,700,1,155.0,699,698,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,10,700,0,156.0,700,699,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,20,700,0,151.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,30,700,0,155.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,40,700,0,157.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,50,700,0,155.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,60,700,0,152.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,70,700,0,152.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,80,700,0,156.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,90,700,0,155.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,100,700,0,149.04999999999995,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,110,700,0,151.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,120,700,0,152.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,130,700,0,153.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,140,700,0,152.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,150,700,0,152.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,160,700,0,152.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,170,700,0,152.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,180,700,0,153.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,190,700,0,151.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,200,700,0,150.04999999999995,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,210,700,0,153.04999999999995,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,220,700,0,154.04999999999995,700,700,0
