runId,label,caseId,fixture,repetition,operation,emitted,complete,p50,p95,p99,wilsonLower,fallbackRatio,providerAttempts,serverResponses,reconciled,loadComplete,latencyPass,completenessPass,maxMs,incomplete,extraIncomplete,originalStatus,derivedStatus
E07-s7-initial-9729c51a-b891-414f-97ae-786f7c866da4,E07 vencido r3,E07,expired,3,profile,8999,8999,144,169,191,0.999573290282037,1,254,8999,True,True,True,True,305,0,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E04-s7-initial-87c004a6-7d82-48ff-84ba-0588a03c2629,E04 r1,E04,valid,1,quote,21000,20996,142,181,199,0.9995102911075314,0.8641904761904762,4125,21000,True,True,True,True,756,4,0,AJUSTAR,CRITERIOS_BASICOS_CUMPLIDOS
E04-s7-initial-87c004a6-7d82-48ff-84ba-0588a03c2629,E04 r1,E04,valid,1,profile,9000,8999,144,178,198,0.9993708238698057,0.8897777777777778,1448,9000,True,True,True,True,755,1,0,AJUSTAR,CRITERIOS_BASICOS_CUMPLIDOS
E08-s7-initial-984e8fcb-a22f-4f5b-939c-b2f85ad09001,E08 revocado r2,E08,revoked,2,quote,21000,20998,97,110,120,0.999652776335442,0,0,21000,True,True,True,True,751,2,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E08-s7-initial-984e8fcb-a22f-4f5b-939c-b2f85ad09001,E08 revocado r2,E08,revoked,2,profile,9000,9000,98,111,122,0.9995733376739991,0,0,9000,True,True,True,True,701,0,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E02-s7-initial-93efbd85-ba07-4f15-ad77-f35f48fe115d,E02 r1,E02,valid,1,quote,20999,20998,198,212,223,0.9997302723716206,0.0006190770989094719,20998,20999,True,True,True,True,784,1,0,INCONCLUSO,INCONCLUSO
E02-s7-initial-93efbd85-ba07-4f15-ad77-f35f48fe115d,E02 r1,E02,valid,1,profile,9000,8999,198,212,222,0.9993708238698057,0.0006666666666666666,8999,9000,True,True,True,True,750,1,0,INCONCLUSO,INCONCLUSO
E08-s7-initial-25ccb11e-021d-4a31-b025-aa9947582770,E08 revocado r3,E08,revoked,3,quote,21001,21001,97,111,125,0.9998171088326606,0,0,21001,True,True,True,True,381,0,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E08-s7-initial-25ccb11e-021d-4a31-b025-aa9947582770,E08 revocado r3,E08,revoked,3,profile,9001,9000,97,108,117,0.9993708937397175,0,0,9001,True,True,True,True,755,1,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E07-s7-initial-0323826e-20d0-4a86-811e-065902815d3e,E07 vencido r2,E07,expired,2,quote,21001,21000,142,179,359,0.999730298053894,0.9999523832198467,492,21001,True,True,True,True,852,1,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
